出租方式,户型,建筑面积,层数,低层,中层,中高层,高层,超高层,楼,朝向,装修,地址,字段9,字段10,字段11,字段12,字段13,字段14,字段15,标题,价格,字段25
整租,1室1厅1卫,45,5,1,0,0,0,0,高,南北,中装修,火车站西路,床,电视,,,空调,热水器,,房源编号 331299970,1800,"春蕾小区
                            (城关区/五泉广场)"
整租,4室2厅2卫,208,32,0,0,0,1,0,低,南,简装修,任家庄112号,床,,冰箱,洗衣机,,热水器,暖气,房源编号 331353872,5000,"仁恒美林郡
                            (七里河区/西站)"
整租,2室1厅1卫,96,34,0,0,0,0,1,低,暂无,精装修,建兰路102号,床,,,,,热水器,暖气,房源编号 331474520,2500,"电力机具厂家属院
                            (七里河区/西站)"
整租,2室1厅1卫,98,32,0,0,0,1,0,低,南北,精装修,西站郑家庄什字西南角（兰石小学东侧）,床,电视,冰箱,洗衣机,空调,热水器,,房源编号 331187763,2600,"明珠家园
                            (七里河区/西站)"
整租,4室2厅1卫,200,30,0,0,0,1,0,中,南,简装修,东岗东路1999号(兰新商业广场内瑞德尔超市对面),,,冰箱,,空调,热水器,暖气,房源编号 330708153,8000,"兰新万国港
                            (城关区/东部市场)"
整租,2室2厅1卫,85,30,0,0,0,1,0,低,暂无,中装修,城关区火车站东路438-458号,床,电视,,,空调,热水器,暖气,房源编号 331237077,2700,"和谐家园
                            (城关区/火车站)"
整租,2室0厅1卫,45,7,1,0,0,0,0,中,南,精装修,民勤街123-135号,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 331316734,2000,"民勤街新厦家属院
                            (城关区/东方红广场)"
整租,1室0厅1卫,46,25,0,0,0,1,0,中,东,中装修,火车站广场向西200米,床,电视,冰箱,洗衣机,,热水器,,房源编号 331295094,2300,"海天新都
                            (城关区/火车站)"
整租,2室2厅1卫,46,6,1,0,0,0,0,中,西,中装修,铁路新村东街951至999号,床,电视,冰箱,,,热水器,暖气,房源编号 331128006,1500,"兰铁福苑小区
                            (城关区/火车站)"
整租,2室1厅1卫,100,8,1,0,0,0,0,高,暂无,简装修,静宁路362-366,床,电视,冰箱,洗衣机,空调,热水器,,房源编号 331250118,2200,"甘肃省投资公司家属院
                            (城关区/东方红广场)"
整租,1室2厅1卫,48,34,0,0,0,0,1,中,南,精装修,和政路东街189号,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 331465409,3200,"仁恒国际
                            (城关区/火车站)"
整租,2室1厅1卫,125,33,0,0,0,0,1,低,东北,中装修,外贸厅公交站下车即到，北临麦积山路与兰州大学隔路相望,,电视,,,,热水器,,房源编号 331276291,3500,"长城山海苑
                            (城关区/盘旋路)"
整租,2室2厅1卫,121,24,0,0,0,1,0,高,西北,精装修,火车站广场向西200米,床,电视,冰箱,洗衣机,,热水器,暖气,房源编号 331352278,3600,"海天新都
                            (城关区/火车站)"
整租,1室1厅1卫,52,28,0,0,0,1,0,中,南,中装修,兰州七里河建西东路420号,床,电视,,,空调,热水器,,房源编号 331381001,1500,"铁建丽苑
                            (七里河区/龚家湾)"
整租,2室1厅1卫,79,8,1,0,0,0,0,中,东西,中装修,敦煌路201号附近,床,电视,,,空调,热水器,,房源编号 331294560,2300,"兰石家属院
                            (七里河区/西站)"
整租,5室1厅2卫,147,24,0,0,0,1,0,中,南北,精装修,兰州市安宁区银滩黄河大桥西，安宁海关南侧,床,电视,,洗衣机,,热水器,暖气,房源编号 328802031,3800,"银滩雅苑
                            (安宁区/费家营)"
整租,2室1厅1卫,95,6,1,0,0,0,0,中,南北,精装修,建西东路151号（111路终点站向北100米）,床,电视,,,空调,热水器,,房源编号 328772455,2000,"裕华家园
                            (七里河区/小西湖)"
整租,2室1厅1卫,78,8,1,0,0,0,0,中,暂无,中装修,兰州市七里河建工中街29号,床,电视,,,空调,热水器,,房源编号 331471246,2000,"建工东院
                            (七里河区/小西湖)"
整租,2室2厅1卫,100,34,0,0,0,0,1,中,东,中装修,金轮广场南侧,床,电视,,,空调,热水器,,房源编号 331276327,3800,"金轮馨园
                            (城关区/火车站)"
整租,2室2厅1卫,95,32,0,0,0,1,0,高,南,中装修,宝石花路南口,床,,,,空调,热水器,暖气,房源编号 327225424,2600,"安澜祥园
                            (安宁区/费家营)"
整租,1室0厅1卫,37,34,0,0,0,0,1,中,东,精装修,任家庄112号,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 330670261,2600,"仁恒美林郡
                            (七里河区/西站)"
整租,2室1厅1卫,80,33,0,0,0,0,1,低,南,简装修,铁路新村东街782-1234号,床,,,,,热水器,暖气,房源编号 327231303,2200,"怡园小区
                            (城关区/火车站)"
整租,3室2厅1卫,110,6,1,0,0,0,0,中,南北,简装修,宝石花路，安宁西路兰州交通大学对面,床,,,,空调,热水器,暖气,房源编号 331277272,2800,"安宁科教城
                            (安宁区/费家营)"
整租,2室1厅1卫,94,33,0,0,0,0,1,低,西南,中装修,西站郑家庄什字西南角（兰石小学东侧）,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 331138624,2700,"明珠家园
                            (七里河区/西站)"
整租,2室1厅1卫,80,8,1,0,0,0,0,低,南,中装修,铁路新村东街342号,床,电视,冰箱,洗衣机,,热水器,暖气,房源编号 331359667,2100,"康宁园小区
                            (城关区/火车站)"
整租,2室2厅1卫,103,6,1,0,0,0,0,中,南北,精装修,雁滩雁兴路116、130、124路车终点(天庆花园东,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 331196855,2900,"基业豪庭
                            (城关区/雁滩北)"
整租,1室1厅1卫,58,33,0,0,0,0,1,低,南,精装修,北滨河西路银滩黄河大桥以西500米（银滩湿地公园对面,床,电视,,,空调,热水器,,房源编号 328905874,2400,"永新华·世界湾
                            (安宁区/安宁新城)"
